,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
5254,8.4921,-16.2503,-17.1468,-17.5022,-17.6631,-17.6449,0.3782,7.4669,-1.0551,11.346,-1.1656,1.282,0.149,0.792,-9.5472
5255,9.1345,-17.6755,-18.6159,-18.9253,-19.0024,-19.0601,0.3064,7.2971,-0.4954,11.5444,-0.2097,3.368,0.067,2.065,-9.6299
5256,10.6679,-18.7407,-20.1967,-20.927,-21.2978,-21.5479,0.6384,8.6448,-0.3372,12.4333,-0.094,4.133,0.64,2.938,-11.0051
5257,10.3812,-17.8035,-19.2461,-19.9873,-20.3663,-20.6971,0.634,8.0001,0.28,12.0907,0.5818,6.388,0.33,4.752,-10.1012
5258,9.8837,-18.5783,-19.4717,-19.9098,-20.0496,-20.1418,0.4168,8.0294,-0.1899,14.8176,0.7282,3.418,0.243,2.131,-10.0736
5259,8.4041,-15.6619,-16.4491,-16.8089,-16.9262,-16.9446,0.3559,7.4193,-1.3628,11.2603,-0.3661,1.253,0.031,0.75,-9.7669
5260,10.6339,-19.8752,-20.9947,-21.4723,-21.6638,-21.8079,0.4065,8.0276,0.6091,12.3738,0.2499,8.303,0.233,5.305,-10.0248
5261,8.8534,-16.4628,-17.7412,-18.0209,-18.124,-17.9458,0.3216,6.9503,-0.9896,11.4146,1.0606,3.571,0.149,2.228,-9.843
5262,10.0489,-18.2261,-19.3563,-19.848,-20.1154,-20.1968,0.4836,8.3694,-0.2072,11.868,-0.1935,2.735,0.051,1.682,-10.2561
5263,10.6562,-19.9087,-21.1037,-21.6722,-21.8866,-21.9312,0.5109,8.506,0.1284,12.539,-0.7322,4.887,0.373,3.367,-10.5278
5264,9.7407,-18.628,-19.5452,-19.9674,-20.117,-20.2961,0.401,7.3352,-0.1271,12.539,-0.694,6.515,0.07,4.101,-9.8678
5265,9.2616,-17.5969,-18.3724,-18.8424,-18.9195,-18.9278,0.4712,7.3228,-0.7182,11.6046,-0.6091,3.726,0.029,2.247,-9.9798
