X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
9.2683,-17.9132,-18.9621,-19.1823,-19.1906,-19.2953,0.2612,6.9624,-0.0998,11.5575,-0.0875,5.618,0.163,3.684,-9.3681
9.7412,-17.1887,-18.5421,-19.0515,-19.2551,-19.3179,0.4938,7.6087,-0.7588,11.7219,-0.5523,4.745,0.172,3.085,-10.5
9.7846,-18.5727,-19.8889,-20.3309,-20.4918,-20.7162,0.4057,7.2319,-0.4234,11.8476,-0.1962,7.589,0.112,4.6,-10.208
9.5205,-17.902,-18.7484,-19.0342,-19.1619,-18.9631,0.2911,7.3784,-1.9685,14.0393,0.9121,4.825,0.468,3.53,-11.489
9.7739,-18.0699,-19.4941,-19.8991,-19.9839,-19.9609,0.3912,7.0521,-0.853,14.0393,1.2556,9.439,0.122,6.031,-10.6269
9.3852,-17.5441,-18.6239,-18.9287,-19.0484,-19.3922,0.2833,7.1496,-2.1381,13.9663,0.5136,5.253,0.181,3.33,-11.5233
9.7144,-18.8943,-19.9102,-20.2821,-20.4265,-20.5975,0.3571,7.4191,0.2176,13.9663,0.818,5.601,0.331,3.78,-9.4968
9.237,-17.4461,-18.461,-18.7983,-18.9019,-18.9372,0.3837,7.463,-0.5108,11.5431,-0.6533,3.068,0.136,1.884,-9.7478
9.4312,-18.4534,-19.4523,-19.7461,-19.7929,-19.5266,0.2792,7.2501,-0.1686,12.1835,-0.344,5.01,0.066,3.09,-9.5998
10.1078,-18.2309,-19.7371,-20.2923,-20.5238,-20.6037,0.5356,7.8147,-0.7032,11.9828,-0.5769,5.604,0.036,3.405,-10.811
10.4131,-18.8349,-20.1538,-20.742,-21.0088,-21.1485,0.5347,8.1888,-0.1815,12.1681,-1.1286,5.251,0.133,3.354,-10.5946
9.5319,-18.0676,-19.4596,-19.7811,-19.7412,-19.1924,0.3108,6.963,0.0853,11.7225,-0.5834,7.735,0.341,5.05,-9.4466
9.7878,-18.0719,-19.37,-19.7607,-19.9159,-20.0674,0.3698,7.3225,-0.2969,14.1516,0.1238,6.915,0.122,4.444,-10.0847
10.3608,-18.8555,-20.0083,-20.5761,-20.8195,-21.0051,0.5241,8.775,-0.0801,14.0194,0.4408,2.541,0.136,1.616,-10.4409
9.3308,-17.3711,-18.0742,-18.6288,-18.7437,-18.3569,0.1795,7.4599,-0.6789,11.6584,-0.6256,3.467,0.278,2.235,-10.0097
9.3295,-18.0013,-18.9272,-19.29,-19.3703,-19.3351,0.362,7.4038,-0.3623,11.6372,-0.6151,3.666,0.086,2.219,-9.6918
8.3368,-16.1956,-17.0748,-17.4229,-17.3515,-17.054,0.3881,6.5578,-1.0037,11.337,-0.4243,3.094,0.0,1.844,-9.3405
9.748,-18.6835,-19.7655,-20.1244,-20.3568,-20.3903,0.3734,7.7955,-0.0777,11.8397,-0.4963,3.804,0.105,2.427,-9.8257
9.5505,-18.2864,-19.1915,-19.5459,-19.6895,-19.689,0.3501,7.2532,-1.3583,12.2119,-0.3745,5.862,0.181,3.996,-10.9088
10.2327,-17.8185,-19.1186,-19.8102,-20.178,-20.4775,0.5794,7.9637,-0.5745,11.9537,-0.1998,5.767,0.347,4.413,-10.8072
9.5202,-18.368,-19.3163,-19.703,-19.8764,-19.9062,0.3958,7.3945,-1.449,11.746,0.8277,4.63,0.002,2.761,-10.9692
9.8125,-19.0774,-20.0068,-20.3849,-20.5212,-20.5323,0.3733,7.7804,-1.0758,11.8542,-0.3636,4.19,0.116,2.634,-10.8883
9.013,-17.221,-18.1536,-18.4436,-18.4775,-18.5874,0.2632,7.5461,-0.6794,11.4892,-0.2319,2.186,0.178,1.345,-9.6924
10.2367,-18.8975,-20.0889,-20.5195,-20.6923,-20.7145,0.4169,7.9561,-0.0701,11.9469,-0.101,5.568,0.056,3.374,-10.3068
9.767,-18.0328,-19.4032,-19.8797,-19.8055,-19.6977,0.4552,7.3839,-0.4379,11.8216,-0.4267,6.239,0.033,3.78,-10.2049
10.6429,-19.4311,-20.8069,-21.2849,-21.4524,-21.5176,0.4353,7.9718,0.2973,13.5806,0.5275,8.743,0.304,5.64,-10.3456
10.2005,-19.0664,-20.1554,-20.6226,-20.8131,-21.0485,0.4059,7.7479,0.0749,11.9955,0.0173,6.817,0.102,4.171,-10.1256
8.2011,-16.5355,-17.1849,-17.4262,-17.5302,-17.513,0.2262,7.5745,-0.9138,11.3032,-1.2531,0.821,0.086,0.496,-9.1149
8.3464,-15.7585,-16.6836,-16.9768,-17.0255,-17.2302,0.3021,7.3966,-1.2099,11.256,-0.5634,1.196,0.087,0.742,-9.5563
9.1793,-17.4951,-18.7378,-19.03,-19.1225,-18.8502,0.3358,7.5113,-0.7439,12.5408,0.411,2.715,0.043,1.636,-9.9232
9.3703,-17.8975,-18.8582,-19.2394,-19.2337,-19.3098,0.3804,7.3836,-0.4497,12.7558,0.4649,3.871,0.331,2.209,-9.82
8.5534,-17.1899,-17.9703,-18.0962,-18.2269,-18.3169,0.1472,7.0898,-0.5809,11.3473,0.257,2.169,0.0,1.292,-9.1343
10.0728,-18.6198,-19.753,-20.1977,-20.3645,-20.5395,0.4053,7.8526,-0.2303,11.8831,-0.3872,5.216,0.086,3.186,-10.3031
10.065,-18.4939,-19.6786,-20.1641,-20.377,-20.5944,0.4532,7.2767,-0.2935,11.8453,-0.9638,10.094,0.147,6.586,-10.3585
9.6479,-18.6298,-19.6938,-20.0487,-20.1285,-20.0725,0.3484,7.4499,-0.1005,13.6876,0.9265,5.053,0.022,3.04,-9.7484
9.9363,-17.2081,-18.6186,-19.3208,-19.6609,-19.9063,0.6312,8.0221,-0.6757,11.8421,-0.0792,3.623,0.039,2.175,-10.612
9.4833,-18.0266,-19.0336,-19.4349,-19.5059,-19.7641,0.3734,7.3701,-0.3162,11.7016,-0.5692,4.587,0.022,2.782,-9.7995
