OID_,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_price,USER_bed,USER_bath,USER_address,USER_city,USER_Field6
21,World,M,99.849999999999994,A,"3223 Selleck Way, Unit 204, Victoria, British Columbia, V9C 0E7","3223 Selleck Way, Unit 204, Victoria, BC, V9C 0E7, CAN","3223 Selleck Way, Unit 204",Subaddress,,,"3223 Selleck Way, Unit 204, Victoria, British Columbia, V9C 0E7",,,20.000000000000000,,3223,,,,,,,Selleck,Way,,,,,,Unit,204,Unit 204,3223 Selleck Way,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9C,0E7,CAN,Canada,ENG,0.000000000000000,-123.476981606090888,48.422169358666153,-123.476911617199391,48.422244292880521,-123.477911617199396,-123.475911617199387,48.421244292880523,48.423244292880518,BC,204-3223 Selleck Way ,,,,Colwood BC,,,,,,"$525,000",1,1,204-3223 Selleck Way ,Colwood BC,
22,World,M,99.090000000000003,A,"2552 Victor St, Victoria, British Columbia, V8R 4C9","2552 Victor St, Victoria, BC, V8R 4C9, CAN",2552 Victor St,PointAddress,,,"2552 Victor St, Victoria, British Columbia, V8R 4C9",,,20.000000000000000,,2552,,,,,,,Victor,St,,,,,,,,,2552 Victor St,,,Fernwood,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8R,4C9,CAN,Canada,ENG,0.000000000000000,-123.337373129714990,48.435545367391569,-123.337728773866644,48.435559281350834,-123.338728773866649,-123.336728773866639,48.434559281350836,48.436559281350831,BC,2552 Victor St ,,,,Victoria BC,,,,,,"$2,300,000",5,5,2552 Victor St ,Victoria BC,
23,World,M,99.090000000000003,A,"2837 Austin Ave, Victoria, British Columbia, V9A 2K8","2837 Austin Ave, Saanich, BC, V9A 2K8, CAN",2837 Austin Ave,PointAddress,,,"2837 Austin Ave, Victoria, British Columbia, V9A 2K8",,,20.000000000000000,,2837,,,,,,,Austin,Ave,,,,,,,,,2837 Austin Ave,,,Tillicum,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,2K8,CAN,Canada,ENG,0.000000000000000,-123.410332819172268,48.452213033312951,-123.410050432854348,48.451928886795372,-123.411050432854353,-123.409050432854343,48.450928886795374,48.452928886795370,BC,2837 Austin Ave ,,,,Saanich BC,,,,,,"$1,998,000",5,5,2837 Austin Ave ,Saanich BC,
24,World,M,99.090000000000003,A,"642 Niagara St, Victoria, British Columbia, V8V 1J2","642 Niagara St, Victoria, BC, V8V 1J2, CAN",642 Niagara St,PointAddress,,,"642 Niagara St, Victoria, British Columbia, V8V 1J2",,,20.000000000000000,,642,,,,,,,Niagara,St,,,,,,,,,642 Niagara St,,,James Bay,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8V,1J2,CAN,Canada,ENG,0.000000000000000,-123.370534704704994,48.411405821522472,-123.370433786590780,48.411626517033028,-123.371433786590785,-123.369433786590776,48.410626517033030,48.412626517033026,BC,642 Niagara St ,,,,Victoria BC,,,,,,"$1,389,000",3,3,642 Niagara St ,Victoria BC,
25,World,M,95.010000000000005,A,"4133 Rocky Mountain Rd, Shawnigan Lake, British Columbia, V0R 2W3","4133 Rocky Mountain Rd, Capital, BC, V0R 2W3, CAN",4133 Rocky Mountain Rd,PointAddress,,,"4133 Rocky Mountain Rd, Shawnigan Lake, British Columbia, V0R 2W3",,,20.000000000000000,,4133,,,,,,,Rocky Mountain,Rd,,,,,,,,,4133 Rocky Mountain Rd,,,,,Shawnigan Lake,,Capital Regional District,British Columbia,BC,,,V0R,2W3,CAN,Canada,ENG,0.000000000000000,-123.549483978910473,48.524119033722286,-123.546942921144392,48.524227495549354,-123.547942921144397,-123.545942921144388,48.523227495549357,48.525227495549352,BC,Lot B-4133 Rocky Mountain Rd ,,,,Malahat BC,,,,,,"$998,000",0,0,Lot B-4133 Rocky Mountain Rd ,Malahat BC,
26,World,M,99.230000000000004,A,"1935 Runnymede Ave, Victoria, British Columbia, V8S 2V3","1935 Runnymede Ave, Victoria, BC, V8S 2V3, CAN",1935 Runnymede Ave,PointAddress,,,"1935 Runnymede Ave, Victoria, British Columbia, V8S 2V3",,,20.000000000000000,,1935,,,,,,,Runnymede,Ave,,,,,,,,,1935 Runnymede Ave,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8S,2V3,CAN,Canada,ENG,0.000000000000000,-123.324860205559517,48.419780851537190,-123.325062879978248,48.419497207933802,-123.326062879978252,-123.324062879978243,48.418497207933804,48.420497207933799,BC,1935 Runnymede Ave ,,,,Victoria BC,,,,,,"$1,399,000",3,2,1935 Runnymede Ave ,Victoria BC,
27,World,M,99.849999999999994,A,"4678 Elk Lake Dr, Unit 499D, Victoria, British Columbia, V8Z 5M1","4678 Elk Lake Dr, Unit 499D, Victoria, BC, V8Z 5M1, CAN","4678 Elk Lake Dr, Unit 499D",Subaddress,,,"4678 Elk Lake Dr, Unit 499D, Victoria, British Columbia, V8Z 5M1",,,20.000000000000000,,4678,,,,,,,Elk Lake,Dr,,,,,,Unit,499D,Unit 499D,4678 Elk Lake Dr,,,Viewmont,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8Z,5M1,CAN,Canada,ENG,0.000000000000000,-123.385891021875295,48.502647070448276,-123.388472983328853,48.502843039344469,-123.389472983328858,-123.387472983328848,48.501843039344472,48.503843039344467,BC,499D-4678 Elk Lake Dr ,,,,Saanich BC,,,,,,"$449,900",2,2,499D-4678 Elk Lake Dr ,Saanich BC,
28,World,M,99.829999999999998,A,"1121 Fort St, Unit 405, Victoria, British Columbia, V8V 3K9","1121 Fort St, Unit 405, Victoria, BC, V8V 3K9, CAN","1121 Fort St, Unit 405",Subaddress,,,"1121 Fort St, Unit 405, Victoria, British Columbia, V8V 3K9",,,20.000000000000000,,1121,,,,,,,Fort,St,,,,,,Unit,405,Unit 405,1121 Fort St,,,Fairfield,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8V,3K9,CAN,Canada,ENG,0.000000000000000,-123.353058688041330,48.423297227557363,-123.353087605607271,48.423026911180017,-123.354087605607276,-123.352087605607267,48.422026911180019,48.424026911180015,BC,405-1121 Fort St ,,,,Victoria BC,,,,,,"$489,000",1,1,405-1121 Fort St ,Victoria BC,
29,World,M,99.849999999999994,A,"100 Saghalie Rd, Unit 202, Victoria, British Columbia, V9A 0A1","100 Saghalie Rd, Unit 202, Victoria, BC, V9A 0A1, CAN","100 Saghalie Rd, Unit 202",Subaddress,,,"100 Saghalie Rd, Unit 202, Victoria, British Columbia, V9A 0A1",,,20.000000000000000,,100,,,,,,,Saghalie,Rd,,,,,,Unit,202,Unit 202,100 Saghalie Rd,,,Victoria West,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,0A1,CAN,Canada,ENG,0.000000000000000,-123.379407955044371,48.428507921485412,-123.378421824136012,48.428305498523770,-123.379421824136017,-123.377421824136007,48.427305498523772,48.429305498523767,BC,202-100 Saghalie Rd ,,,,Victoria BC,,,,,,"$670,000",1,1,202-100 Saghalie Rd ,Victoria BC,
30,World,M,99.230000000000004,A,"1218 Wychbury Ave, Esquimalt, British Columbia, V9A 5L3","1218 Wychbury Ave, Esquimalt, BC, V9A 5L3, CAN",1218 Wychbury Ave,PointAddress,,,"1218 Wychbury Ave, Esquimalt, British Columbia, V9A 5L3",,,20.000000000000000,,1218,,,,,,,Wychbury,Ave,,,,,,,,,1218 Wychbury Ave,,,Esquimalt Village,,Esquimalt,,Capital Regional District,British Columbia,BC,,Esquimalt,V9A,5L3,CAN,Canada,ENG,0.000000000000000,-123.415705535288751,48.426603469265018,-123.415632528912113,48.426848807570906,-123.416632528912118,-123.414632528912108,48.425848807570908,48.427848807570903,BC,1218 Wychbury Ave ,,,,Esquimalt BC,,,,,,"$1,099,888",3,2,1218 Wychbury Ave ,Esquimalt BC,
